x	P	S
0.0375	101000.0	0.5
0.1125	101300.0	0.5
0.1875	101300.0	0.5
0.2625	101300.0	0.5
0.3375	101300.0	0.5
0.4125	101300.0	0.5
0.4875	101300.0	0.5
0.5625	101300.0	0.5
0.6375	101300.0	0.5
0.7125	101300.0	0.5
0.7875	101300.0	0.5
0.8625	101300.0	0.5
0.9375	101300.0	0.5
1.0125	101300.0	0.5
1.0875	101300.0	0.5
1.1625	101300.0	0.5
1.2375	101300.0	0.5
1.3125	101300.0	0.5
1.3875	101300.0	0.5
1.4625	101300.0	0.5
1.5375	101300.0	0.5
1.6125	101300.0	0.5
1.6875	101300.0	0.5
1.7625	101300.0	0.5
1.8375	101300.0	0.5
1.9125	101300.0	0.5
1.9875	101300.0	0.5
2.0625	101300.0	0.5
2.1375	101300.0	0.5
2.2125	101300.0	0.5
2.2875	101300.0	0.5
2.3625	101300.0	0.5
2.4375	101300.0	0.5
2.5125	101300.0	0.5
2.5875	101300.0	0.5
2.6625	101300.0	0.5
2.7375	101300.0	0.5
2.8125	101300.0	0.5
2.8875	101300.0	0.5
2.9625	101300.0	0.5
3.0375	101300.0	0.5
3.1125	101300.0	0.5
3.1875	101300.0	0.5
3.2625	101300.0	0.5
3.3375	101300.0	0.5
3.4125	101300.0	0.5
3.4875	101300.0	0.5
3.5625	101300.0	0.5
3.6375	101300.0	0.5
3.7125	101300.0	0.5
3.7875	101300.0	0.5
3.8625	101300.0	0.5
3.9375	101300.0	0.5
4.0125	101300.0	0.5
4.0875	101300.0	0.5
4.1625	101300.0	0.5
4.2375	101300.0	0.5
4.3125	101300.0	0.5
4.3875	101300.0	0.5
4.4625	101300.0	0.5
4.5375	101300.0	0.5
4.6125	101300.0	0.5
4.6875	101300.0	0.5
4.7625	101300.0	0.5
4.8375	101300.0	0.5
4.9125	101300.0	0.5
4.9875	101300.0	0.5
5.0625	101300.0	0.5
5.1375	101300.0	0.5
5.2125	101300.0	0.5
5.2875	101300.0	0.5
5.3625	101300.0	0.5
5.4375	101300.0	0.5
5.5125	101300.0	0.5
5.5875	101300.0	0.5
5.6625	101300.0	0.5
5.7375	101300.0	0.5
5.8125	101300.0	0.5
5.8875	101300.0	0.5
5.9625	101300.0	0.5
6.0375	101300.0	0.5
6.1125	101300.0	0.5
6.1875	101300.0	0.5
6.2625	101300.0	0.5
6.3375	101300.0	0.5
6.4125	101300.0	0.5
6.4875	101300.0	0.5
6.5625	101300.0	0.5
6.6375	101300.0	0.5
6.7125	101300.0	0.5
6.7875	101300.0	0.5
6.8625	101300.0	0.5
6.9375	101300.0	0.5
7.0125	101300.0	0.5
7.0875	101300.0	0.5
7.1625	101300.0	0.5
7.2375	101300.0	0.5
7.3125	101300.0	0.5
7.3875	101300.0	0.5
7.4625	101300.0	0.5
7.5375	101300.0	0.5
7.6125	101300.0	0.5
7.6875	101300.0	0.5
7.7625	101300.0	0.5
7.8375	101300.0	0.5
7.9125	101300.0	0.5
7.9875	101300.0	0.5
8.0625	101300.0	0.5
8.1375	101300.0	0.5
8.2125	101300.0	0.5
8.2875	101300.0	0.5
8.3625	101300.0	0.5
8.4375	101300.0	0.5
8.5125	101300.0	0.5
8.5875	101300.0	0.5
8.6625	101300.0	0.5
8.7375	101300.0	0.5
8.8125	101300.0	0.5
8.8875	101300.0	0.5
8.9625	101300.0	0.5
9.0375	101300.0	0.5
9.1125	101300.0	0.5
9.1875	101300.0	0.5
9.2625	101300.0	0.5
9.3375	101300.0	0.5
9.4125	101300.0	0.5
9.4875	101300.0	0.5
9.5625	101300.0	0.5
9.6375	101300.0	0.5
9.7125	101300.0	0.5
9.7875	101300.0	0.5
9.8625	101300.0	0.5
9.9375	101300.0	0.5
10.0125	101300.0	0.5
10.0875	101300.0	0.5
10.1625	101300.0	0.5
10.2375	101300.0	0.5
10.3125	101300.0	0.5
10.3875	101300.0	0.5
10.4625	101300.0	0.5
10.5375	101300.0	0.5
10.6125	101300.0	0.5
10.6875	101300.0	0.5
10.7625	101300.0	0.5
10.8375	101300.0	0.5
10.9125	101300.0	0.5
10.9875	101300.0	0.5
11.0625	101300.0	0.5
11.1375	101300.0	0.5
11.2125	101300.0	0.5
11.2875	101300.0	0.5
11.3625	101300.0	0.5
11.4375	101300.0	0.5
11.5125	101300.0	0.5
11.5875	101300.0	0.5
11.6625	101300.0	0.5
11.7375	101300.0	0.5
11.8125	101300.0	0.5
11.8875	101300.0	0.5
11.9625	101300.0	0.5
12.0375	101300.0	0.5
12.1125	101300.0	0.5
12.1875	101300.0	0.5
12.2625	101300.0	0.5
12.3375	101300.0	0.5
12.4125	101300.0	0.5
12.4875	101300.0	0.5
12.5625	101300.0	0.5
12.6375	101300.0	0.5
