x	P	S
12.7125	101300.0	0.5
12.7875	101300.0	0.5
12.8625	101300.0	0.5
12.9375	101300.0	0.5
13.0125	101300.0	0.5
13.0875	101300.0	0.5
13.1625	101300.0	0.5
13.2375	101300.0	0.5
13.3125	101300.0	0.5
13.3875	101300.0	0.5
13.4625	101300.0	0.5
13.5375	101300.0	0.5
13.6125	101300.0	0.5
13.6875	101300.0	0.5
13.7625	101300.0	0.5
13.8375	101300.0	0.5
13.9125	101300.0	0.5
13.9875	101300.0	0.5
14.0625	101300.0	0.5
14.1375	101300.0	0.5
14.2125	101300.0	0.5
14.2875	101300.0	0.5
14.3625	101300.0	0.5
14.4375	101300.0	0.5
14.5125	101300.0	0.5
14.5875	101300.0	0.5
14.6625	101300.0	0.5
14.7375	101300.0	0.5
14.8125	101300.0	0.5
14.8875	101300.0	0.5
14.9625	101300.0	0.5
