x	P	S
13.3125	101829.176583	0.500001261059
13.3875	101800.526675	0.500001192927
13.4625	101772.486872	0.500001126203
13.5375	101745.029586	0.500001060826
13.6125	101718.127629	0.500000996732
13.6875	101691.754211	0.500000933861
13.7625	101665.882923	0.500000872151
13.8375	101640.487727	0.500000811544
13.9125	101615.542948	0.500000751979
13.9875	101591.023262	0.500000693397
14.0625	101566.903683	0.500000635742
14.1375	101543.159556	0.500000578956
14.2125	101519.766544	0.500000522981
14.2875	101496.700617	0.500000467762
14.3625	101473.938043	0.500000413243
14.4375	101451.455376	0.500000359369
14.5125	101429.229446	0.500000306086
14.5875	101407.23735	0.500000253339
14.6625	101385.456438	0.500000201076
14.7375	101363.864305	0.500000149242
14.8125	101342.438783	0.500000097787
14.8875	101321.157925	0.500000046656
14.9625	101300.0	0.5
